State,AgencyType,AgencyName,AssaultOffenses,HomicideOffenses,KidnappingAbduction,SexOffenses,SexOffensesNonforcible,Arson,Bribery,BurglaryBreaking&Entering,CounterfeitingForgery,DestructionDamageVandalism,Embezzlement,ExtortionBlackmail,FraudOffenses,LarcenyTheftOffenses,Robbery,StolenPropertyOffenses,DrugNarcoticOffenses,GamblingOffenses,PornographyObsceneMaterial,ProstitutionOffenses,WeaponLawViolations,TotalOffences
COLORADO,Cities,Federal Heights,27.0,0.0,0.0,4.0,0.0,2.0,0.0,12.0,5.0,47.0,0.0,0.0,17.0,74.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,205.0
COLORADO,Cities,Firestone,41.0,0.0,2.0,3.0,1.0,0.0,0.0,9.0,1.0,26.0,0.0,0.0,7.0,64.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,175.0
COLORADO,Cities,Florence,1410.0,2.0,35.0,99.0,1.0,15.0,0.0,602.0,164.0,1572.0,39.0,1.0,691.0,3395.0,40.0,19.0,733.0,0.0,6.0,2.0,84.0,8910.0
COLORADO,Cities,Fort Collins,36.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,26.0,1.0,0.0,3.0,44.0,1.0,0.0,74.0,0.0,0.0,0.0,0.0,192.0
COLORADO,Cities,Fort Lupton,103.0,0.0,4.0,27.0,0.0,1.0,2.0,56.0,19.0,164.0,4.0,0.0,40.0,264.0,2.0,2.0,121.0,0.0,1.0,0.0,8.0,818.0
COLORADO,Cities,Fort Morgan,171.0,0.0,10.0,37.0,1.0,3.0,0.0,122.0,15.0,259.0,0.0,1.0,78.0,576.0,12.0,3.0,250.0,0.0,0.0,1.0,33.0,1572.0
COLORADO,Cities,Fountain,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,29.0
COLORADO,Cities,Fowler,35.0,0.0,0.0,5.0,0.0,0.0,0.0,18.0,4.0,20.0,1.0,0.0,19.0,93.0,1.0,0.0,35.0,0.0,0.0,0.0,1.0,232.0
COLORADO,Cities,Frederick,17.0,0.0,3.0,3.0,0.0,1.0,2.0,6.0,1.0,13.0,0.0,0.0,6.0,32.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,118.0
COLORADO,Cities,Frisco,89.0,0.0,5.0,8.0,0.0,1.0,0.0,38.0,2.0,106.0,0.0,0.0,50.0,228.0,2.0,5.0,61.0,0.0,0.0,0.0,4.0,599.0
COLORADO,Cities,Fruita,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
COLORADO,Cities,Georgetown,160.0,0.0,11.0,25.0,0.0,2.0,0.0,71.0,20.0,207.0,0.0,0.0,64.0,489.0,3.0,20.0,229.0,0.0,0.0,0.0,10.0,1311.0
COLORADO,Cities,Glenwood Springs,76.0,0.0,2.0,5.0,0.0,2.0,0.0,57.0,11.0,133.0,1.0,1.0,83.0,418.0,4.0,1.0,137.0,0.0,1.0,0.0,7.0,939.0
